State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,01/06/2015,400,1200,800,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,05/06/2015,800,1500,1200,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,08/06/2015,1200,1600,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,15/06/2015,1000,1200,1100,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,19/06/2015,800,1400,1100,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,22/06/2015,900,1400,1100,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,24/06/2015,900,1400,1100,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,27/06/2015,800,1200,1000,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,03/07/2015,900,1200,1050,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,06/07/2015,800,1200,1050,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,07/07/2015,800,1200,1050,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,08/07/2015,800,1200,1050,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,15/07/2015,1000,1400,1200,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,24/07/2015,1500,2000,1800,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,05/08/2015,1000,2400,1700,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,10/08/2015,1200,2400,1700,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,13/08/2015,1000,2400,1700,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,24/08/2015,1600,2800,2200,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,26/08/2015,1200,2400,1800,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,05/09/2015,800,2000,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,09/09/2015,800,2000,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,19/09/2015,1000,2000,1500,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,24/09/2015,800,2000,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,03/10/2015,800,2000,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,05/10/2015,800,2000,1400,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,09/10/2015,400,1600,1000,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,15/10/2015,100,1400,750,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,09/11/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,08/12/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,09/12/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,16/12/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,26/12/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,28/12/2015,100,600,350,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,06/06/2015,1500,1800,1650,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,16/06/2015,1200,1800,1600,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,17/06/2015,1200,1600,1400,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,18/06/2015,1000,1400,1100,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,25/06/2015,1400,1800,1600,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,15/07/2015,1600,2000,1800,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,30/07/2015,2400,2800,2600,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,05/08/2015,2400,2800,2600,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,20/08/2015,3000,3800,3400,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,31/08/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,07/09/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,22/09/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,23/09/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,24/09/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,07/10/2015,2000,3000,2500,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,14/10/2015,1550,2500,2000,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,15/10/2015,1400,2400,1900,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,16/10/2015,1400,2400,1900,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,19/10/2015,800,1600,1200,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,26/10/2015,800,1600,1200,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,09/11/2015,600,1400,1000,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,24/11/2015,600,1600,1200,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,30/11/2015,600,1600,1100,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,01/06/2015,1600,1800,1700,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,05/06/2015,1800,2200,1900,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,09/06/2015,2000,2500,2200,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,10/06/2015,2000,2500,2200,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,11/06/2015,1800,2300,2000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,12/06/2015,1400,2000,1800,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,16/06/2015,1400,2100,1900,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,17/06/2015,1600,2000,1800,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,19/06/2015,1600,2200,2000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,20/06/2015,1600,2200,2000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,23/06/2015,1600,2200,2000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,24/06/2015,1600,2200,2000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,30/06/2015,1600,1800,1700,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,08/07/2015,1400,1800,1600,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,24/07/2015,2400,2800,2600,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,27/07/2015,2800,3000,2900,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,29/07/2015,2800,3200,3000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,04/08/2015,2800,3200,3000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,06/08/2015,2800,3200,3000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,12/08/2015,2800,3200,3000,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,21/08/2015,3800,4600,4200,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,29/08/2015,3000,4400,3700,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,09/09/2015,3000,4600,3800,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,16/09/2015,3000,4600,3800,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,21/09/2015,3000,4200,3600,23
