State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,FAQ,03/01/2014,1800,2200,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,04/01/2014,2000,2400,2200,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,08/01/2014,1800,2000,1900,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,17/01/2014,1600,1800,1700,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,20/01/2014,1400,1800,1600,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,22/01/2014,1400,2000,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,23/01/2014,1400,2000,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,25/01/2014,1600,2000,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,03/02/2014,1600,2000,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,12/02/2014,1400,1800,1600,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,18/02/2014,1200,1400,1300,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,15/03/2014,800,1000,900,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,25/03/2014,700,900,800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,08/04/2014,700,1000,800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,25/04/2014,1300,1800,1500,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,30/04/2014,1400,1800,1600,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,13/05/2014,1800,2400,2200,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,21/05/2014,1800,2200,2000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Large,23/05/2014,1800,2200,2000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,24/05/2014,1800,2200,2000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,26/05/2014,1500,2000,1800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,05/06/2014,2300,2900,2700,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,13/06/2014,2800,3200,3000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,17/06/2014,2600,3000,2800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,18/06/2014,3000,3500,3300,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,02/07/2014,2600,3200,3000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,04/07/2014,2800,3200,3000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,05/07/2014,2600,3400,3000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,10/07/2014,3400,4000,3600,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,11/07/2014,3800,4200,4000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,16/07/2014,4000,5000,4500,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,23/07/2014,4000,4500,4300,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Large,24/07/2014,4200,4600,4400,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,14/08/2014,3500,4000,3800,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,11/09/2014,2800,3200,3000,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,25/09/2014,2800,3400,3200,153
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Carrot,Carrot,Medium,15/10/2014,3800,4500,4200,153
