State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,02/01/2015,1600,1800,1700,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,08/01/2015,1700,1900,1800,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,20/01/2015,1700,1900,1850,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,02/02/2015,1700,1900,1800,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,09/02/2015,1400,1800,1600,24
Karnataka,Bangalore,Bangalore,Potato,Chips,Large,10/02/2015,1400,1800,1600,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,19/02/2015,1600,1800,1700,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,23/02/2015,1500,1800,1600,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,24/02/2015,1500,1800,1650,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,03/03/2015,1200,1600,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,13/03/2015,1400,1700,1550,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,19/03/2015,1200,1300,1250,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,20/03/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,27/03/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,06/04/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,08/04/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,09/04/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,18/04/2015,1000,1300,1200,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,25/04/2015,1300,1400,1350,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,27/04/2015,1200,1300,1250,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,05/05/2015,1200,1300,1250,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,07/05/2015,1300,1450,1350,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,11/05/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,13/05/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,14/05/2015,1300,1400,1350,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,18/05/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,20/05/2015,1300,1600,1450,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,26/05/2015,1300,1600,1450,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,30/05/2015,1200,1500,1350,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,08/06/2015,1600,1800,1700,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,22/06/2015,1400,1600,1500,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,25/06/2015,1400,1600,1500,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,01/07/2015,1400,1500,1450,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,03/07/2015,1400,1500,1450,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,06/07/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,07/07/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,10/07/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,15/07/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,25/07/2015,1100,1700,1450,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,31/07/2015,1200,1500,1350,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,03/08/2015,1000,1400,1200,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,06/08/2015,1100,1500,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,19/08/2015,1300,1500,1400,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,20/08/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,29/08/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,07/09/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,14/09/2015,1200,1400,1300,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,18/09/2015,1100,1300,1200,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,26/09/2015,1000,1200,1100,24
Karnataka,Bangalore,Bangalore,Potato,Chips,FAQ,29/09/2015,1000,1200,1100,24
